City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Midland,US,31.9974,-102.0779,73.69,64,1,6.91,clear sky
131,Kruisfontein,ZA,-34.0033,24.7314,46.89,66,0,5.59,clear sky
132,Lorengau,PG,-2.0226,147.2712,85.32,69,26,6.31,scattered clouds
133,Nikolskoye,RU,59.7035,30.7861,55.29,60,23,3.33,few clouds
134,Koumac,NC,-20.5667,164.2833,77.05,66,74,8.16,broken clouds
135,Jamestown,US,42.097,-79.2353,71.19,82,75,19.57,broken clouds
136,Codrington,AU,-38.2667,141.9667,57.94,73,100,21.16,light rain
137,San Patricio,US,28.017,-97.5169,78.89,85,9,6.49,clear sky
138,East London,ZA,-33.0153,27.9116,50.94,71,0,8.05,clear sky
139,Libreville,GA,0.3925,9.4537,80.62,89,40,9.22,scattered clouds
140,Vaini,TO,-21.2,-175.2,73.56,83,40,1.14,scattered clouds
141,Ziniare,BF,12.5822,-1.2983,84.24,44,65,8.21,broken clouds
142,Tucuman,AR,-26.8241,-65.2226,60.8,88,0,4.27,clear sky
143,Pangnirtung,CA,66.1451,-65.7125,27.97,77,90,9.98,overcast clouds
144,Airai,TL,-8.9266,125.4092,72.5,56,84,4.34,broken clouds
145,Eyl,SO,7.9803,49.8164,80.2,73,16,17.58,few clouds
146,Vorsma,RU,55.9856,43.2717,61.47,77,0,12.66,clear sky
147,Puerto Ayora,EC,-0.7393,-90.3518,72.55,89,95,3.0,overcast clouds
148,Soe,ID,-9.8607,124.284,80.83,50,82,9.64,broken clouds
149,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,13.8,moderate rain
150,Mumford,GH,5.2618,-0.759,78.42,85,77,4.16,broken clouds
151,Qaanaaq,GL,77.484,-69.3632,29.37,74,66,7.7,broken clouds
152,Frankfort,ZA,-27.2667,28.4833,35.29,62,0,3.15,clear sky
153,Cascais,PT,38.6979,-9.4215,60.48,75,32,11.01,scattered clouds
154,Ileza,RU,61.0533,43.9002,66.92,53,46,1.99,scattered clouds
155,Barcelos,PT,41.5388,-8.6151,56.84,69,6,4.05,clear sky
156,Kijang,KR,35.2442,129.2139,78.53,63,100,18.16,overcast clouds
157,Hualmay,PE,-11.0964,-77.6139,63.05,88,9,8.23,clear sky
158,Sinnamary,GF,5.3833,-52.95,77.16,91,98,9.37,overcast clouds
159,Luangwa,ZM,-15.6167,30.4167,63.59,62,39,9.22,scattered clouds
160,Caraz,PE,-9.0486,-77.81,61.38,82,97,1.63,overcast clouds
161,Harrisburg,US,40.2737,-76.8844,71.74,77,1,1.01,clear sky
162,Port Elizabeth,ZA,-33.918,25.5701,46.69,87,0,3.44,clear sky
163,Touros,BR,-5.1989,-35.4608,72.5,87,1,10.16,clear sky
164,Victoria Point,AU,-27.5833,153.3,73.18,51,0,1.99,clear sky
165,Tarauaca,BR,-8.1614,-70.7656,72.93,73,100,0.65,overcast clouds
166,Verkhnyaya Inta,RU,65.9811,60.3094,55.76,56,98,12.75,overcast clouds
167,Mananjary,MG,-21.2167,48.3333,68.11,92,12,5.64,few clouds
168,Guerrero Negro,MX,27.9769,-114.0611,63.61,81,65,13.27,broken clouds
169,Margate,GB,51.3813,1.3862,56.3,95,100,4.0,overcast clouds
170,Usinsk,RU,65.9939,57.5281,55.18,55,100,8.28,overcast clouds
171,Fairbanks,US,64.8378,-147.7164,68.0,46,40,6.91,scattered clouds
172,Karratha,AU,-20.7377,116.8463,77.58,43,3,18.3,clear sky
173,Bethel,US,41.3712,-73.414,66.81,91,40,0.0,mist
174,Luderitz,NA,-26.6481,15.1594,66.88,29,0,22.95,clear sky
175,Sibut,CF,5.718,19.0739,69.4,95,67,1.66,light rain
176,Mengyin,CN,35.7069,117.9264,87.42,24,86,2.59,overcast clouds
177,Beringovskiy,RU,63.05,179.3167,39.67,82,55,1.14,broken clouds
178,Georgetown,MY,5.4112,100.3354,87.89,72,20,1.01,few clouds
179,Clive,US,41.603,-93.7241,78.01,51,1,8.05,clear sky
180,Hervey Bay,AU,-25.2986,152.8535,70.02,55,2,4.0,clear sky
181,Deputatskiy,RU,69.3,139.9,77.18,26,100,27.81,overcast clouds
182,Coihaique,CL,-45.5752,-72.0662,37.35,87,75,8.05,broken clouds
183,Severo-Kurilsk,RU,50.6789,156.125,43.25,91,100,16.49,light rain
184,Chute-Aux-Outardes,CA,49.1168,-68.399,66.51,87,40,4.03,scattered clouds
185,Tiksi,RU,71.6872,128.8694,38.3,75,100,5.95,overcast clouds
186,Tevriz,RU,57.509,72.4042,60.58,44,5,9.35,clear sky
187,Nemuro,JP,43.3236,145.575,75.63,93,98,3.69,overcast clouds
188,Butaritari,KI,3.0707,172.7902,83.12,67,100,2.77,overcast clouds
189,Tessalit,ML,20.1986,1.0114,91.78,11,3,7.85,clear sky
190,Cam Ranh,VN,11.9214,109.1591,94.96,55,0,7.2,clear sky
191,Hilo,US,19.7297,-155.09,78.53,72,20,13.8,few clouds
192,Erzin,TR,36.9559,36.2,68.72,74,2,3.06,clear sky
193,Kendari,ID,-3.945,122.4989,80.67,84,96,2.42,overcast clouds
194,Cleveland,US,41.4995,-81.6954,75.96,67,40,10.78,scattered clouds
195,Vila Do Maio,CV,15.1333,-23.2167,75.99,84,38,22.73,scattered clouds
196,Lagoa,PT,39.05,-27.9833,62.33,89,84,10.65,broken clouds
197,Westport,US,41.1415,-73.3579,67.98,95,1,1.01,clear sky
198,Rawson,AR,-43.3002,-65.1023,46.44,57,0,13.02,clear sky
199,Auki,SB,-8.7676,160.7034,85.46,63,91,2.26,overcast clouds
200,Raton,US,36.9034,-104.4391,66.54,44,1,4.16,clear sky
201,Pundaguitan,PH,6.3711,126.1689,82.56,76,100,4.88,overcast clouds
202,Ponta Do Sol,PT,32.6667,-17.1,65.03,57,21,4.9,few clouds
203,Vila,PT,42.0304,-8.1588,45.93,87,4,4.25,clear sky
204,Lebu,CL,-37.6167,-73.65,49.59,83,3,4.74,clear sky
205,Port Keats,AU,-14.25,129.55,86.25,27,8,12.15,clear sky
206,Mujiayingzi,CN,42.1167,118.7833,73.72,26,53,15.55,broken clouds
207,Geraldton,AU,-28.7667,114.6,69.13,55,0,5.59,clear sky
208,Xixiang,CN,35.1628,112.865,101.48,7,19,10.09,few clouds
209,Singaraja,ID,-8.112,115.0882,86.13,64,36,2.71,scattered clouds
210,Kasongo-Lunda,CD,-6.4667,16.8167,65.73,63,31,1.48,scattered clouds
211,Surany,SK,48.0861,18.1845,59.95,77,9,4.41,clear sky
212,Biltine,TD,14.5333,20.9167,85.73,35,28,15.05,scattered clouds
213,Nuevo Progreso,MX,23.1667,-97.95,78.6,80,68,0.54,broken clouds
214,Chapeco,BR,-27.0964,-52.6183,57.78,87,0,3.02,clear sky
215,Denpasar,ID,-8.65,115.2167,85.66,79,20,8.99,few clouds
216,Carnarvon,AU,-24.8667,113.6333,73.47,46,13,9.22,few clouds
217,Sobolevo,RU,54.4299,31.8996,56.43,79,50,5.08,scattered clouds
218,Moron,AR,-34.6534,-58.6198,62.29,94,100,5.99,overcast clouds
219,Saint Peter,BB,13.25,-59.6167,79.36,78,98,20.2,overcast clouds
220,Mezen,RU,65.8522,44.24,69.03,43,4,9.33,clear sky
221,Ahipara,NZ,-35.1667,173.1667,59.97,77,100,13.87,moderate rain
222,Olafsvik,IS,64.8945,-23.7142,47.3,93,100,7.52,overcast clouds
223,Kudahuvadhoo,MV,2.6708,72.8944,83.32,75,100,18.03,overcast clouds
224,Monterey,US,36.2505,-121.2516,52.09,1,5,7.49,clear sky
225,Kenai,US,60.5544,-151.2583,63.03,50,1,11.5,clear sky
226,Southbridge,US,42.0751,-72.0334,66.09,97,2,3.58,clear sky
227,Jumla,NP,29.2747,82.1838,69.82,52,15,4.92,few clouds
228,Banganapalle,IN,15.3167,78.2333,80.6,70,100,0.81,overcast clouds
229,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,83,100,5.17,overcast clouds
230,Wajir,KE,1.7471,40.0573,73.33,82,77,12.86,broken clouds
231,Souillac,MU,-20.5167,57.5167,74.35,88,75,13.31,broken clouds
232,Ternate,ID,0.8,127.4,85.62,67,99,1.25,overcast clouds
233,Haines Junction,CA,60.7522,-137.5108,60.75,29,96,8.05,overcast clouds
234,Mandalgovi,MN,45.7625,106.2708,74.84,17,51,8.23,broken clouds
235,Blairmore,CA,49.6,-114.4353,68.92,30,19,11.5,few clouds
236,Sindi,IN,20.8,78.8667,85.08,47,57,9.22,broken clouds
237,Bani Walid,LY,31.7566,13.9942,61.86,81,94,5.06,overcast clouds
238,Ayan,RU,56.45,138.1667,39.87,92,70,9.31,broken clouds
239,Mayumba,GA,-3.432,10.6554,75.25,94,54,5.66,broken clouds
240,Prince Rupert,CA,54.3161,-130.3201,49.69,93,90,11.5,mist
241,Yulara,AU,-25.2406,130.9889,64.24,39,0,13.8,clear sky
242,Mae Hong Son,TH,19.3003,97.9685,80.74,89,75,0.0,broken clouds
243,Iqaluit,CA,63.7506,-68.5145,35.33,74,90,13.0,overcast clouds
244,Natchez,US,31.5604,-91.4032,73.62,91,90,0.0,moderate rain
245,Fortuna,US,40.5982,-124.1573,58.66,66,1,1.01,clear sky
246,Rorvik,NO,64.8621,11.2373,53.53,82,3,6.35,clear sky
247,College,US,64.8569,-147.8028,69.46,45,75,1.99,broken clouds
248,Albury,AU,-36.0833,146.9167,53.02,58,83,5.75,broken clouds
249,Luanda,AO,-8.8368,13.2343,77.0,83,75,5.75,broken clouds
250,Komono,JP,35.0,136.5167,81.25,57,93,4.12,moderate rain
251,Ilulissat,GL,69.2167,-51.1,50.02,40,26,21.85,scattered clouds
252,Boulsa,BF,12.6675,-0.5758,85.12,50,66,13.94,broken clouds
253,Owando,CG,-0.4819,15.8999,71.98,85,67,2.73,broken clouds
254,Vallenar,CL,-28.5708,-70.7581,56.71,82,100,1.07,overcast clouds
255,Sorland,NO,67.667,12.6934,48.52,94,30,13.8,scattered clouds
256,Paamiut,GL,61.994,-49.6678,40.51,75,100,21.61,light rain
257,Klaksvik,FO,62.2266,-6.589,50.92,92,55,11.88,broken clouds
258,Stephenville Crossing,CA,48.5,-58.4318,51.93,100,90,4.61,fog
259,Samana,DO,19.2056,-69.3369,76.66,86,20,9.42,few clouds
260,Uray,RU,60.1247,64.7758,65.68,43,72,11.79,broken clouds
261,Katsuura,JP,35.1333,140.3,75.31,80,82,9.6,broken clouds
262,Manokwari,ID,-0.8667,134.0833,81.1,80,75,6.2,broken clouds
263,Margherita,IN,27.2833,95.6833,72.88,95,100,1.81,overcast clouds
264,Caluquembe,AO,-13.7833,14.6833,48.74,44,0,3.58,clear sky
265,Auxerre,FR,47.8,3.5667,58.86,99,100,9.1,overcast clouds
266,Bengkulu,ID,-3.8004,102.2655,76.24,92,100,8.52,overcast clouds
267,Torbay,CA,47.6666,-52.7314,54.75,97,90,18.41,overcast clouds
268,Kuching,MY,1.55,110.3333,82.62,83,40,3.44,scattered clouds
269,Bonfim,BR,3.0833,-59.95,78.39,81,65,2.62,broken clouds
270,Iberia,US,29.9502,-91.7507,75.97,88,1,7.65,clear sky
271,Den Helder,NL,52.9599,4.7593,60.98,99,75,5.99,light rain
272,Tabou,CI,4.423,-7.3528,78.31,88,100,5.41,overcast clouds
273,Bloomfield,US,40.8068,-74.1854,67.86,91,1,1.01,mist
274,Adre,TD,13.4667,22.2,78.46,47,62,6.58,broken clouds
275,San Quintin,MX,30.4833,-115.95,64.44,86,1,5.77,clear sky
276,Provideniya,RU,64.3833,-173.3,39.96,64,62,7.34,broken clouds
277,Umm Kaddadah,SD,13.6017,26.6876,82.09,43,95,3.6,overcast clouds
278,Kodiak,US,57.79,-152.4072,60.31,41,40,10.36,scattered clouds
279,Cidreira,BR,-30.1811,-50.2056,65.08,89,78,6.69,broken clouds
280,Ordu,TR,40.9086,37.6845,46.9,92,100,2.24,overcast clouds
281,Ambunti,PG,-4.2365,142.8448,78.71,93,100,2.17,overcast clouds
282,Ilebo,CD,-4.3167,20.5833,70.92,79,14,1.39,few clouds
283,Nouadhibou,MR,20.931,-17.0347,67.98,64,0,25.32,clear sky
284,Popondetta,PG,-8.7537,148.2534,77.2,96,100,3.47,light rain
285,Port Lavaca,US,28.615,-96.6261,77.99,89,1,0.0,clear sky
286,Salalah,OM,17.0151,54.0924,82.49,78,75,4.61,broken clouds
287,Dukat,RU,62.55,155.55,47.3,56,9,14.34,clear sky
288,Nyimba,ZM,-14.5566,30.8149,56.89,72,2,8.46,clear sky
289,Peniche,PT,39.3558,-9.3811,59.74,87,45,18.01,scattered clouds
290,Gornopravdinsk,RU,60.05,69.9,65.07,42,26,12.35,scattered clouds
291,Pechenga,RU,69.5259,31.1703,50.86,65,77,10.67,broken clouds
292,Sao Francisco,BR,-15.9486,-44.8644,68.74,62,0,7.14,clear sky
293,Rio Grande,BR,-32.035,-52.0986,65.23,88,42,11.43,scattered clouds
294,Constitucion,CL,-35.3333,-72.4167,51.89,86,49,9.57,scattered clouds
295,Tornio,FI,65.8481,24.1466,55.42,71,82,4.68,broken clouds
296,Saskylakh,RU,71.9167,114.0833,38.86,70,90,10.25,overcast clouds
297,Kupang,ID,-10.1667,123.5833,90.18,51,40,13.8,scattered clouds
298,Lokosovo,RU,61.1333,74.8167,61.23,47,66,17.83,broken clouds
299,Udachnyy,RU,66.4167,112.4,52.3,33,99,17.45,overcast clouds
300,Poum,NC,-20.2333,164.0167,74.91,72,23,8.43,few clouds
301,Buraydah,SA,26.326,43.975,86.45,10,23,9.17,few clouds
302,Constantine,DZ,36.365,6.6147,65.61,88,75,1.14,broken clouds
303,Tabuleiro Do Norte,BR,-5.2467,-38.1306,71.6,90,3,5.7,clear sky
304,Pahrump,US,36.2083,-115.9839,98.65,14,0,9.62,clear sky
305,Namibe,AO,-15.1961,12.1522,70.56,57,0,3.38,clear sky
