City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Saldanha,ZA,2021-05-27 02:28:52,-33.0117,17.9442,53.65,85,100,1.48
141,Wageningen,NL,2021-05-27 02:28:52,51.9667,5.6667,51.26,93,75,3.0
142,Redmond,US,2021-05-27 02:26:07,47.674,-122.1215,67.05,59,100,1.01
143,Saskylakh,RU,2021-05-27 02:28:53,71.9167,114.0833,37.63,78,100,12.46
144,Vasterhaninge,SE,2021-05-27 02:28:53,59.1167,18.1,44.44,94,100,10.42
145,Fayaoue,NC,2021-05-27 02:28:53,-20.65,166.5333,73.58,52,1,3.91
146,Clyde River,CA,2021-05-27 02:28:54,70.4692,-68.5914,21.16,87,13,8.25
147,Jishou,CN,2021-05-27 02:28:54,28.3167,109.7167,72.43,84,100,1.39
148,Vilyuysk,RU,2021-05-27 02:28:54,63.7553,121.6247,57.06,64,100,7.72
149,Rawson,AR,2021-05-27 02:28:54,-43.3002,-65.1023,51.35,62,100,10.89
150,Hartselle,US,2021-05-27 02:28:55,34.4434,-86.9353,72.93,100,100,5.28
151,San Andres,CO,2021-05-27 02:25:02,12.5847,-81.7006,82.42,83,40,11.5
152,Oussouye,SN,2021-05-27 02:28:55,12.485,-16.5469,74.46,75,20,6.96
153,Ramhormoz,IR,2021-05-27 02:28:56,31.28,49.6035,71.67,19,0,4.18
154,Narsaq,GL,2021-05-27 02:28:56,60.9167,-46.05,34.02,96,100,3.2
155,Mestia,GE,2021-05-27 02:28:56,43.0458,42.7278,43.14,82,40,3.76
156,Ocho Rios,JM,2021-05-27 02:28:57,18.4025,-77.1048,82.15,88,70,8.72
157,Vernon,CA,2021-05-27 02:28:19,50.2581,-119.2691,73.29,38,100,1.14
158,Nishihara,JP,2021-05-27 02:28:57,26.1842,127.7558,87.85,79,75,18.81
159,Vodnyy,RU,2021-05-27 02:28:58,63.5046,53.4095,36.79,53,16,4.41
160,Krasnoborsk,RU,2021-05-27 02:28:58,61.5598,45.934,41.95,65,100,5.3
161,Half Moon Bay,US,2021-05-27 02:28:58,37.4636,-122.4286,71.73,75,90,1.01
162,Beringovskiy,RU,2021-05-27 02:28:59,63.05,179.3167,32.58,98,100,16.37
163,Beloha,MG,2021-05-27 02:28:59,-25.1667,45.05,62.17,96,2,5.19
164,Tessalit,ML,2021-05-27 02:28:59,20.1986,1.0114,89.58,7,68,5.5
165,Kahului,US,2021-05-27 02:28:26,20.8947,-156.47,84.22,72,20,21.85
166,Chapais,CA,2021-05-27 02:29:00,49.7834,-74.8492,35.38,65,91,16.51
167,Arman,RU,2021-05-27 02:29:00,59.7,150.1667,43.36,81,100,3.6
168,Tasiilaq,GL,2021-05-27 02:27:43,65.6145,-37.6368,41.16,93,100,27.09
169,Vanderhoof,CA,2021-05-27 02:29:01,54.0166,-124.0198,50.92,90,100,5.84
170,Shenjiamen,CN,2021-05-27 02:29:01,29.9576,122.298,69.6,89,95,10.02
171,Upernavik,GL,2021-05-27 02:29:01,72.7868,-56.1549,31.3,93,100,10.0
172,Casas Adobes,US,2021-05-27 02:29:02,32.3234,-110.9951,90.25,10,100,5.01
173,Marsa Matruh,EG,2021-05-27 02:29:02,31.3525,27.2453,68.2,94,0,6.91
174,Prainha,BR,2021-05-27 02:29:02,-1.8,-53.48,77.14,83,73,2.89
175,Mahebourg,MU,2021-05-27 02:29:03,-20.4081,57.7,71.89,94,75,2.3
